Version,Version_Season,Season,Full_Name,Castaway_Id,Order,Result,Jury_Status,Place,Jury,Finalist,Winner,Season_Castaway_Id,Finale_Categorization,Era
US,US46,46,Tim Spicer,US0696,7.0,6th voted out,nan,12,False,False,False,US46US0696,Voted out pre-jury,New Era
US,US46,46,Venus Vafa,US0697,12.0,11th voted out,5th jury member,7,True,False,False,US46US0697,Jury,New Era
US,US47,47,Andy Rueda,US0698,13.0,13th voted out,6th jury memmber,6,True,False,False,US47US0698,Jury,New Era
US,US47,47,Anika Dhar,US0699,5.0,5th voted out,nan,14,False,False,False,US47US0699,Voted out pre-jury,New Era
US,US47,47,Aysha Welch,US0700,3.0,3rd voted out,nan,16,False,False,False,US47US0700,Voted out pre-jury,New Era
US,US47,47,Caroline Vidmar,US0701,12.0,12th voted out,5th jury member,7,True,False,False,US47US0701,Jury,New Era
US,US47,47,Gabe Ortis,US0702,10.0,10th voted out,3rd jury member,9,True,False,False,US47US0702,Jury,New Era
US,US47,47,Genevieve Mushaluk,US0703,14.0,14th voted out,7th jury member,5,True,False,False,US47US0703,Jury,New Era
US,US50,50,Genevieve Mushaluk,US0703,,nan,nan,6,False,True,True,US50US0703,Winner,New Era
US,US47,47,Jon Lovett,US0704,1.0,1st voted out,nan,18,False,False,False,US47US0704,Voted out pre-jury,New Era
US,US47,47,Kishan Patel,US0705,4.0,4th voted out,nan,15,False,False,False,US47US0705,Voted out pre-jury,New Era
US,US47,47,Kyle Ostwald,US0706,11.0,11th voted out,4th jury member,8,True,False,False,US47US0706,Jury,New Era
US,US47,47,Rachel LaMont,US0707,18.0,Sole Survivor,nan,1,False,True,True,US47US0707,Winner,New Era
US,US47,47,Rome Cooney,US0708,6.0,6th voted out,nan,13,False,False,False,US47US0708,Voted out pre-jury,New Era
US,US47,47,Sam Phalen,US0709,17.0,Runner-up,nan,2,False,True,False,US47US0709,Finalist,New Era
US,US47,47,Sierra Wright,US0710,8.0,8th voted out,1st jury member,11,True,False,False,US47US0710,Jury,New Era
US,US47,47,Sol Yi,US0711,9.0,9th voted out,2nd jury member,10,True,False,False,US47US0711,Jury,New Era
